Data_Set_Name,Algorithm_Name,Measure,Value
ProPublicaRace,FOEIR-DIC,NDCG@5,0.9910903775715563
ProPublicaRace,FOEIR-DIC,NDCG@10,0.9881229015295414
ProPublicaRace,FOEIR-DIC,rKL,0.04196838484340694
ProPublicaRace,FOEIR-DIC,DTR,0.952274196698
ProPublicaRace,FOEIR-DIC,DIR,1.25432389489
ProPublicaRace,FOEIR-DIC,FairnessAtK,1.0
ProPublicaRace,FAIR,MAP,0.22460901027077496
ProPublicaRace,FAIR,NDCG@1,1.0
ProPublicaRace,FAIR,NDCG@5,0.9910903775715563
ProPublicaRace,FAIR,NDCG@10,0.9881229015295414
ProPublicaRace,FAIR,rKL,0.0025350656529782726
ProPublicaRace,FAIR,DTR,0.646505376725
ProPublicaRace,FAIR,DIR,0.777265479204
ProPublicaRace,FAIR,FairnessAtK,1.0
ProPublicaSex,Color-Blind,MAP,1.0
ProPublicaSex,Color-Blind,NDCG@1,1.0
ProPublicaSex,Color-Blind,NDCG@5,1.0
ProPublicaSex,Color-Blind,NDCG@10,1.0
ProPublicaSex,Color-Blind,rKL,0.005343691609658756
ProPublicaSex,Color-Blind,DTR,0.914484750275
ProPublicaSex,Color-Blind,DIR,0.733826785507
ProPublicaSex,Color-Blind,FairnessAtK,0.1
ProPublicaSex,FeldmanEtAl,MAP,0.0
ProPublicaSex,FeldmanEtAl,NDCG@1,0.947496140240558
ProPublicaSex,FeldmanEtAl,NDCG@5,0.9852752621629929
ProPublicaSex,FeldmanEtAl,NDCG@10,0.988597895135811
ProPublicaSex,FeldmanEtAl,rKL,0.026947898435333267
ProPublicaSex,FeldmanEtAl,DTR,0.644963992779
ProPublicaSex,FeldmanEtAl,DIR,0.727242132077
ProPublicaSex,FeldmanEtAl,FairnessAtK,0.325
ProPublicaSex,FOEIR-DPC,MAP,0.2203751803751804
ProPublicaSex,FOEIR-DPC,NDCG@1,1.0
ProPublicaSex,FOEIR-DPC,NDCG@5,0.991902782649088
ProPublicaSex,FOEIR-DPC,NDCG@10,0.9929250983215826
ProPublicaSex,FOEIR-DPC,rKL,0.005331025315823761
ProPublicaSex,FOEIR-DPC,DTR,1.02003538082
ProPublicaSex,FOEIR-DPC,DIR,1.3034799828
ProPublicaSex,FOEIR-DPC,FairnessAtK,0.275
ProPublicaSex,FOEIR-DTC,MAP,0.3228363997113997
ProPublicaSex,FOEIR-DTC,NDCG@1,1.0
ProPublicaSex,FOEIR-DTC,NDCG@5,0.991902782649088
ProPublicaSex,FOEIR-DTC,NDCG@10,0.9929250983215826
ProPublicaSex,FOEIR-DTC,rKL,0.005331025315823761
ProPublicaSex,FOEIR-DTC,DTR,1.0200429302
ProPublicaSex,FOEIR-DTC,DIR,1.30348427724
ProPublicaSex,FOEIR-DTC,FairnessAtK,0.275
ProPublicaSex,FOEIR-DIC,MAP,0.357122113997114
ProPublicaSex,FOEIR-DIC,NDCG@1,1.0
ProPublicaSex,FOEIR-DIC,NDCG@5,0.991902782649088
ProPublicaSex,FOEIR-DIC,NDCG@10,0.9929250983215826
ProPublicaSex,FOEIR-DIC,rKL,0.005331025315823761
ProPublicaSex,FOEIR-DIC,DTR,1.0200429302
ProPublicaSex,FOEIR-DIC,DIR,1.30348427724
ProPublicaSex,FOEIR-DIC,FairnessAtK,0.275
ProPublicaSex,FAIR,MAP,0.21520600744284954
ProPublicaSex,FAIR,NDCG@1,1.0
ProPublicaSex,FAIR,NDCG@5,0.991902782649088
ProPublicaSex,FAIR,NDCG@10,0.9929250983215826
ProPublicaSex,FAIR,rKL,0.0006989557363354135
ProPublicaSex,FAIR,DTR,0.644963995051
ProPublicaSex,FAIR,DIR,0.727242130146
ProPublicaSex,FAIR,FairnessAtK,0.275
GermanCreditSex,Color-Blind,MAP,1.0
GermanCreditSex,Color-Blind,NDCG@1,1.0
GermanCreditSex,Color-Blind,NDCG@5,1.0
GermanCreditSex,Color-Blind,NDCG@10,1.0
GermanCreditSex,Color-Blind,rKL,0.002550721863397703
GermanCreditSex,Color-Blind,DTR,1.06767653058
GermanCreditSex,Color-Blind,DIR,1.20786244088
GermanCreditSex,Color-Blind,FairnessAtK,1.0
GermanCreditSex,FeldmanEtAl,MAP,0.06651760392385393
GermanCreditSex,FeldmanEtAl,NDCG@1,1.0
GermanCreditSex,FeldmanEtAl,NDCG@5,0.9938374232707657
GermanCreditSex,FeldmanEtAl,NDCG@10,0.9969806736276445
GermanCreditSex,FeldmanEtAl,rKL,0.052230156607115774
GermanCreditSex,FeldmanEtAl,DTR,1.20532145054
GermanCreditSex,FeldmanEtAl,DIR,1.20061501896
GermanCreditSex,FeldmanEtAl,FairnessAtK,1.0
GermanCreditSex,FOEIR-DPC,MAP,0.4038967115186156
GermanCreditSex,FOEIR-DPC,NDCG@1,1.0
GermanCreditSex,FOEIR-DPC,NDCG@5,0.9938374232707657
GermanCreditSex,FOEIR-DPC,NDCG@10,0.9969806736276445
GermanCreditSex,FOEIR-DPC,rKL,0.0023383144585347334
GermanCreditSex,FOEIR-DPC,DTR,1.06157935326
GermanCreditSex,FOEIR-DPC,DIR,0.999623561212
GermanCreditSex,FOEIR-DPC,FairnessAtK,1.0
GermanCreditSex,FOEIR-DTC,MAP,0.4038967115186156
GermanCreditSex,FOEIR-DTC,NDCG@1,1.0
GermanCreditSex,FOEIR-DTC,NDCG@5,0.9938374232707657
GermanCreditSex,FOEIR-DTC,NDCG@10,0.9969806736276445
GermanCreditSex,FOEIR-DTC,rKL,0.0023383144585347334
GermanCreditSex,FOEIR-DTC,DTR,1.06157935326
GermanCreditSex,FOEIR-DTC,DIR,0.999623561212
GermanCreditSex,FOEIR-DTC,FairnessAtK,1.0
GermanCreditSex,FOEIR-DIC,MAP,0.4038967115186156
GermanCreditSex,FOEIR-DIC,NDCG@1,1.0
GermanCreditSex,FOEIR-DIC,NDCG@5,0.9938374232707657
GermanCreditSex,FOEIR-DIC,NDCG@10,0.9969806736276445
GermanCreditSex,FOEIR-DIC,rKL,0.0023383144585347334
GermanCreditSex,FOEIR-DIC,DTR,1.06157935326
GermanCreditSex,FOEIR-DIC,DIR,0.999623561212
GermanCreditSex,FOEIR-DIC,FairnessAtK,1.0
GermanCreditSex,FAIR,MAP,1.0
GermanCreditSex,FAIR,NDCG@1,1.0
GermanCreditSex,FAIR,NDCG@5,0.9938374232707657
GermanCreditSex,FAIR,NDCG@10,0.9969806736276445
GermanCreditSex,FAIR,rKL,0.00045407656022598554
GermanCreditSex,FAIR,DTR,1.20532145054
GermanCreditSex,FAIR,DIR,1.20061501896
